Context,Utterance,Paraphrase
,What the fuck are you doing?,"Excuse me, may I ask what you are doing?"
What the fuck are you doing?,Sit him up.,Please help him sit up.
,Young-jak!,"Hello, Young-jak!"
,"""You shouldn't have let him go, Mother.""","Perhaps it would have been better if he had stayed, Mother."
"""You shouldn't have let him go, Mother.""",He wouldn't listen.,"Unfortunately, he was not willing to heed my advice."
,What are you doing right now?,May I ask what you are currently occupied with?
What are you doing right now?,Hurry up and get out of there!,Could you please move out of there quickly?
"""I'm sorry, I didn't get a translation on that.""",Why are they laughing?,Could you please tell me the reason for their laughter?
"""I'm sorry, I didn't get a translation on that. [SEP] Why are they laughing?""",How can I defend myself if I can't understand the Procurator?,"I apologize, but I am having difficulty comprehending the Procurator. May I ask for clarification?"
,So what exactly was the point in moving'Birmingham New Street Station' to'Birmingham New Street railway station' I've never heard it called that before nor any other of the Birmingham stations. Is there any need to add'railway' to the title of a station unless it is being disambiguated from a bus station or something?,"I'm curious as to why the name of the station was changed from 'Birmingham New Street Station' to 'Birmingham New Street railway station'. I haven't heard it referred to as such before, nor have I heard any other Birmingham stations with the word 'railway' added to their names. Is there a specific reason for adding 'railway' to the station's title, unless it's necessary to differentiate it from a bus station or similar?"
,Just like me!,You are similar to me!
Just like me!,Where's security?,"Excuse me, may I know where I can find the security personnel?"
"""Thank you, Mercial Goddess. [SEP] He's all right! [SEP] Chun's under there!""",Let my men go free.,I kindly request for the release of my men.
Come on.,Wait up!,Please hold on.
,You're going to eat that whole bag?,Would you like to finish the entire bag?
You're going to eat that whole bag?,Why do you have two bags of marshmallows?,May I ask why you have two bags of marshmallows?
,Rawr!,"Excuse me, I would like to express my enthusiasm with a playful sound."
Rawr!,What in God's name is happening here?,"Excuse me, may I inquire about the current situation?"
The fortune cookie says: future is not promising.,Who!,Oh my!
,You know what?,May I ask you something?
Actually can you put it in my hand? My real hand.,"""Oh, really? Okay.""","Certainly, I would be happy to accommodate your request."
,Just now he was here.,He was present here a moment ago.
We shall meet again. [SEP] I'm looking forward to it.,Jump!,Could you please jump?
,This is ridiculous!,This situation seems quite unreasonable.
This is ridiculous!,Sister!,"Excuse me, sister."
,"""Leave aside your friendship for just one moment, my brother, and think.""","Could you please set aside your friendship for a moment and consider the situation, my dear brother?"
"""Leave aside your friendship for just one moment, my brother, and think. [SEP] Think sensibly.""","""What if he did it deliberately, huh?""","""Could it be possible that he intentionally did it?"""
"""Leave aside your friendship for just one moment, my brother, and think. [SEP] Think sensibly. [SEP] What if he did it deliberately, huh? [SEP] Unfortunately his actions have left us with a doubt.""",And what does that mean?,Could you please explain the implications of the situation?
,"""You glued it on, didn't you, you jerks?""","Did you attach it using adhesive, perhaps, my dear colleagues?"
"""You glued it on, didn't you, you jerks? [SEP] The hat too?""",This is not acceptable.,This is not an appropriate action.
,We want everybody to get their fists in the air!,We would appreciate it if everyone could raise their fists in the air.
How's your tea?,Really horrible.,I'm afraid my tea isn't quite to my liking.
,You motherfucker!,I strongly disagree with your actions.
You motherfucker!,Drink it.,Please consume the beverage.
,You owe me money from my pocket and money for the girl.,I was wondering if you could kindly repay the amount you borrowed from me and also the money you owe for the girl.
,Boy.,Young man.
Boy.,Where are they taking us?,"Excuse me, may I ask where we are being taken?"
,"""Well, I'll be damned.""","Oh my, that's surprising."
"""Well, I'll be damned.""",Isn't that some gourmet shit?,"Wow, that seems like some high-quality cuisine."
"""Well, I'll be damned. [SEP] Isn't that some gourmet shit?""","""Drink up, lads!""","""Cheers, gentlemen! Let's enjoy our drinks."""
,Where's Monning?,"May I know the whereabouts of Monning, please?"
Where's Monning? [SEP] Dog food.,You still got the tooth?,Do you happen to still have your tooth?
Hannah.,Hannah?,"Excuse me, may I speak with Hannah?"
,All clear?,Is everything okay?
,"""Albina, where are you hidden?""","Excuse me, Albina, may I know where you are located?"
,And one.,I would like to add one more thing.
And one.,Heel forward.,Could you please move your heel forward?
I love doing the train!,I'll screw you.,I would like to engage in a different activity with you.
,Tough son of a bitch.,Resilient individual.
Tough son of a bitch.,"""What are you standing around for, get him out of here!""",Could you please assist in removing him from this area?
We're all here.,Where are you right now?,May I ask your current location?
I'd like to make one good score and back off.,Back off to what?,May I ask what you plan to do after achieving one good score?
Make no noise.,See yourself.,Please take a moment to reflect on your actions.
,What was the argument about?,Could you kindly explain the topic of discussion that led to the disagreement?
What was the argument about?,I told him he was wasting his life.,I expressed my concern about the direction of his life.
,Get him off!,Please remove him from the situation.
Get him off!,Get him off of me!,Could you please help me remove him from my person?
,Get to the front!,Please move to the front.
Get to the front!,"""Go on, shoot it!""",Please feel free to take the shot.
,"""Wearing that hood, you can't eat.""",It may be difficult to eat while wearing that hood.
,No. Where's the record?,"I'm sorry, could you please tell me where the record is located?"
,And to what end?,What is the purpose of this?
And to what end?,Tell me.,Could you please share with me?
They must've gone the other way.,Look after him.,Please take care of him.
Are you sure you put him in this cell? [SEP] Is there another in here? [SEP] Maybe someone has gotten him out,Who could that be?,"I'm sorry, but I'm wondering if there is a possibility that someone else might have removed him from this cell?"
,All I'm saying is that I'll happily shoot you in the head if I have to but BâÂ°nos will also smash your face to pieces before he screws your wife.,"What I mean to convey is that if necessary, I would be willing to use force, but BâÂ°nos may also resort to violence and harm your spouse."
All I'm saying is that I'll happily shoot you in the head if I have to but BâÂ°nos will also smash your face to pieces before he screws your wife.,That's the difference between us.,Our approaches to handling situations differ.
,You should not have come.,It may have been better if you had not arrived.
You should not have come.,I let you go.,I wish you hadn't come.
Hurry up,Quickly...,Please move with haste.
,What happened? Nothing.,May I inquire about the situation? Is everything alright?
,He's lying!,I believe he may not be telling the truth.
He's lying!,why would he confess so readily?,I'm curious as to why he would be so forthcoming with his admission.
What else would we do?,She must have been out of her mind driving like that.,"It seems that her driving was quite reckless, wouldn't you agree?"
,Mummy!,"Excuse me, mother?"
,What was that?,Could you please repeat what you just said?
Dominus.,"""Speak, man, what news?""","""Excuse me, may I inquire if you have any news to share?"""
"""Dominus. [SEP] Speak, man, what news? [SEP] I've just spoken to someone in Antony's camp.""",And?,May I ask what information you have received?
,Amy.,"Excuse me, may I have your attention, Amy?"
Amy.,What is so funny?,May I ask what is causing amusement?
Donglu how's your new job? [SEP] After you left my life here is the same as before very peaceful.,You asked me the last time how did I get Wu to beat me?,"Last time you inquired about my well-being, but I must say that since you departed, my life has remained tranquil and unchanged."
,You didn't tell me she had a child.,I wasn't aware that she had a child.
Ready.,Aim.,Let's get ready to shoot.
"""Hey, wake up!""",What the heck?,"Excuse me, could you please wake up?"
"""Hey, wake up! [SEP] What the heck?""",Shut up or I'll beat you up!,"Excuse me, could you please refrain from making noise or disturbing me? Thank you."
,Your eyes... remind me of my first girlfriend.,Your eyes bring back memories of someone special from my past.
Your eyes... remind me of my first girlfriend. [SEP] Are you free tonight?,My place?,Would you like to come over to my place tonight?
,This is impossible.,I'm having a hard time seeing how this could be feasible.
,Did you kill her?,May I ask if you were involved in her passing?
,What the fuck are you looking at?,"Excuse me, may I ask what has caught your attention?"
What the fuck are you looking at?,Freak.,"Excuse me, but I find your appearance quite unusual."
Shh. Come on.,Mother of God.,Oh my goodness.
,"""Toss to hands, liberty and cradle out, OK?""","Would it be alright if we do a toss to hands, liberty, and cradle out?"
And I have a fancy I should like to see someone play.,Play.,I would be delighted to witness someone engage in a game or activity.
Money!,You need money?,May I ask if you require any financial assistance?
,Are you hiding out?,May I ask if you are keeping a low profile?
"""All right, let's go through this one more time.""",Why didn't you call from Joyce's apartment?,May I ask if there was a reason why you didn't make a phone call from Joyce's apartment?
Do you need any help with anything?,You can go to hell.,"I'm sorry, but I don't require any assistance at the moment."
,He's inside. Let's get him.,He is currently indoors. Shall we go and retrieve him?
,HOLY SHIT.,Oh my goodness.
,Who is that man?,May I know the identity of that gentleman?
,You're jealous.,It seems like you may be feeling envious.
,Now we do this my way.,"Let's try doing it my way, if that's alright with you."
,There better be no crawling.,I hope there won't be any crawling.
There better be no crawling.,"""Just shut up, Byrne.""","Please refrain from speaking, Byrne."
,"""You, get over here. Come on.""","Excuse me, would you mind coming over here please?"
I appreciate all your help but I'm just not sure if that's what I'm lookin 'for.,You're not payin 'for a lot of things you don't need. No power steerin' or nothin '.,"I understand that you may not require certain features, so you won't be paying for anything unnecessary such as power steering."
,We'd better get away from here.,It might be best for us to leave this place.
Let's get Wei-hou-Bou!,Why do they want me?,May I ask why they are interested in me?
Put that on.,"""Mommy, what's happening?""","Excuse me, could you please explain what is going on?"
,Get out of the fucking car.,Please exit the vehicle.
Get out of the fucking car.,Get out of the fucking car!,Could you please step out of the car?
,"""You don't like root beer, do you?""",Do you happen to have a preference for a different type of beverage than root beer?
,What's the matter? Don't like the pigeon?,Is there something wrong? Do you have a preference for a different bird?
I just don't know what to say.,What's that you're holding?,May I ask what you have in your hand?
"""Better change the bulb. [SEP] Put ointment on Dong-yoon, too?""",You do it!,Would you mind taking care of it?
,"""Take care of her, okay?""",Could you please make sure she is well taken care of?
,That was stupid.,That was not the wisest decision.
That was stupid.,Was it?,"I'm sorry, but was that not the best decision?"
That was stupid. [SEP] Was it?,"""You're stuck with me, Charlie.""","I hope we can continue to work together, Charlie."
The decision's yours.,That's all.,The choice is entirely up to you.
I'll bury them for you.,One last kiss?,Would you like one final kiss?
"""Pretty tough, aren't you?""",You cockroach.,"You are quite resilient, aren't you?"
,original article????,"Excuse me, may I ask if you have the original article?"
,That's the car. They must have gone inside.,I believe that is their vehicle. It seems likely that they have entered the building.
,"""Last chance, sir.""","This is your final opportunity, sir."
"""Last chance, sir.""",Wait. I want to see this.,"Excuse me, may I have a moment to observe this?"
,Give me your phone.,May I please borrow your phone?
Give me your phone. [SEP] I don't have a phone.,Give me your phone!,Could I please borrow your phone?
,"""You're aware this is now a non-smoking facility, sir?""","Excuse me, sir, may I kindly inform you that this establishment is now designated as a non-smoking area?"
,What's there?,May I inquire about what is present in that location?
Will we be taking them down? [SEP] Feed them first...,Shitheads!,"Oh dear, that's not very kind."
,Mariana.,"Excuse me, may I have your attention, Mariana?"
"""I think we made a mistake. [SEP] Beibei doesn't seem to be one of them. [SEP] Hey pretty, nice to see you again.""","""Damn, we traded her to the devil.""","It appears that we may have made an error as Beibei does not seem to fit in with the group. Hello there, it's lovely to see you once more."
,Who are you?,"May I ask for your name, please?"
,Corey.,"Excuse me, may I have your attention, Corey?"
Corey.,Where's your brother?,May I ask about the whereabouts of your sibling?
,You got Angel on that thing?,Do you have Angel associated with that item?
,Who's the piece of ass?,Who is the attractive person?
Who's the piece of ass?,"""God, you really were a dick.""","I must say, your behavior was quite unpleasant."
There he is,Andrej!,"Excuse me, is that Andrej over there?"
,So what are you doing tonight?,May I inquire about your plans for this evening?
It won't be necessary.,You're already dead.,It is not required.
Lisa is upstairs.,What fell?,"Excuse me, may I ask if something has fallen?"
,Bloody hell.,Oh my goodness.
Bloody hell.,Who are those guys?,May I inquire as to the identity of those individuals?
,"""Manager Cho, this is all I have with me right now.""","""Excuse me, Manager Cho, at the moment this is the only thing I have on hand."""
,He's lying!,I believe he may not be telling the truth.
He's lying!,why would he confess so readily?,I'm curious as to why he would be so forthcoming with his admission.
,"""Take cover, my friends!""","Please seek shelter, my dear companions."
"""Take cover, my friends!""",Regroup!,"Let's gather together, everyone."
,I know what the band Rush is. I'm just wondering if you were joking or didn't know the user was referring to Rush Limbaugh?,"I understand the reference to the band Rush, but I'm curious if you were perhaps mistaken or unaware that the user was actually referring to Rush Limbaugh?"
,What happened to your nose?,May I ask what occurred to your nasal area?
Let's try something else.,Watch me.,Would you like to see something different?
,Looks like that hit the spot.,It appears that you have found what you were looking for.
,Better now?,How are you feeling at the moment?
Better now?,Go to sleep.,It would be beneficial for you to rest and get some sleep.
,"""Where's your male-driven, fact-based logic now, Jack?""","I'm curious, Jack, how do you reconcile your previous reliance on logic that may have been influenced by gender or personal beliefs?"
,Are you her father?,May I ask if you happen to be her father?
Are you her father?,You didn't sign here.,I noticed that you haven't signed this document.
Please don't.,Not?,Would it be possible for you to refrain from doing that?
"""Miss Kelly, might I talk to you later?""",Not if what you're going to say will cause trouble for me in some way or another.,I would appreciate it if you could let me know the nature of our conversation beforehand to ensure that it won't have any negative consequences for me.
,Frank.,"Excuse me, may I have your attention, Frank?"
Frank.,Why hasn't the pilot come here yet?,"Excuse me, may I inquire as to the whereabouts of the pilot?"
,That enough?,Is that sufficient?
,"""He's doing it again, removing Lauren's """"bottom 2"""" placing (<url>). I just reverted him but maybe we need to file something at AN/I?""","It seems that he has removed Lauren's ""bottom 2"" placing again. I have already reverted his action, but do you think it would be appropriate to consider filing a report at AN/I?"
Noi!,Take him away.,Please remove him from this location.
I heard of your work on the rescue operation.,Have you been hurt?,I hope you are doing well.
,Where's the knife?,May I ask where the knife is located?
Where's the knife?,What knife?,"I'm sorry, could you please clarify which knife you are referring to?"
,"""What's the matter, boy?""","""Is everything alright, young one?"""
"""Samantha, dear.""",Is something the matter?,"Excuse me, Samantha, is everything alright?"
,Just ignore them.,It might be best to not pay attention to them.
,What's happening here?,May I inquire about the current situation in this place?
What's happening here?,"""The wedding of Laila, our reindeer queen. So what?""",Could you please inform me of the current event taking place?
"""Bye, Black Tone!""",Remember...,Could you please remember...?
"""Bye, Black Tone! [SEP] Remember...""",Remember what I've taught you!,Please remember the lessons I have shared with you.
Can anybody see anything?,More goddamned cloud.,I'm having difficulty seeing due to the clouds.
,"""You'll never leave my side, brother.""","I hope we will always be together, my dear brother."
Ha'S right bahind you!,"""Hay, Stop driving lika a pussy.""","Excuse me, could you please drive a bit more cautiously?"
,Come on. Let's fuck.,I suggest we engage in intimate activity together.
Come on. Let's fuck.,"""I can't love anyone, not right now.""",I am not currently in a position to pursue a romantic relationship with anyone.
,Their bizarre shapes help them to remain suspended in the dark space.,The unique shapes of these objects allow them to stay afloat in the absence of light.
,That's it! I can't take anymore.,I have reached my limit and cannot handle any further.
"""What are you up to, you fuckers?""",Don't fuck with me!,Please do not mess with me.
"""What are you up to, you fuckers? [SEP] Don't fuck with me!""",Where are ya?,May I ask where you are at the moment?
,Don't touch it!,Please refrain from touching it.
Don't touch it!,Don't touch it.,Please refrain from touching it.
When did it happen? [SEP] Which hospital? [SEP] What did the doctor say?,What has she done?,May I inquire about her actions?
,You suck!,Your performance could use some improvement.
You suck!,Those little fuckers. I will kill them.,I am feeling frustrated at the moment.
You suck! [SEP] Those little fuckers. I will kill them.,You stink!,You have an unpleasant odor.
,Where's my wild goose?,"Excuse me, do you happen to know the whereabouts of my wild goose?"
,"""So, send me to jail.""",I would appreciate it if you could kindly arrange for me to be incarcerated.
"""Right, it's time to go now, Alice.""",Why? What's going on?,"May I ask what is the reason for leaving now, Alice?"
,That's my mother.,The woman over there is my mother.
I've met a lot of Muslims.,Ever meet a Muslim girl?,Have you had the opportunity to meet a girl who practices Islam?
,"""Lisa, come down.""","Lisa, would you mind coming downstairs?"
"""Lisa, come down.""",Lisa?,"Excuse me, Lisa, would you mind coming down?"
,You want him?,Do you have a preference for him?
You want him?,You'll have to go through me.,"If you're interested in him, I kindly request that you speak with me first."
I owe you these.,You shouldn't have.,"It was very kind of you, but I really appreciate it."
,Ernest!,"Excuse me, may I have your attention, Ernest?"
,Really? That's it?,"Oh, is that all there is?"
"""Really? That's it? [SEP] Well, what'd you expect? Spinning heads, pea soup? [SEP] Spiritual liberation can take months, sometimes years.""",So she's still possessed?,Is she still experiencing possession?
Miguel!,Look at all that.,"Wow, there is quite a lot to see here."
You want to know if we're armed?,We're armed.,May I inquire if we have any weapons on us?
I'm glad I lived to see this day.,Where is Heisuke?,"Excuse me, do you happen to know the whereabouts of Heisuke?"
I'm glad I lived to see this day. [SEP] Where is Heisuke? [SEP] I bet he's crying in the toilet. [SEP] Just like our dad did?,Don't start that again.,Please refrain from bringing up that topic once more.
,You're an artist.,You possess a great talent for creating art.
She invited us to Sao Paulo. [SEP] You want to go to Sao Paulo?,"""Yeah, why not?""","Certainly, I would be open to the idea of visiting Sao Paulo."
,"""You can't take a picture of something that didn't happen, Ronald.""","It's not possible to capture an image of an event that didn't occur, Ronald."
"""You can't take a picture of something that didn't happen, Ronald.""",Ronny!,"Excuse me, Ronald."
,Who is responsible for this?,May I know who is accountable for this?
Can't you go any faster?,"""Come on, seriously!""",Could you please try to increase your speed a bit?
"""It's such a popular game and it's such a great game, and I think we have a winner.""","""Okay, got it.""","I understand, thank you."
What are these conditions?,They are unknown to me!,"I'm sorry, but I am not familiar with these conditions."
What happened that night?,You know what happened.,I believe you are aware of the events that occurred that evening.
,And my receipt?,May I please ask for my receipt?
,How did it end?,May I inquire about the outcome?
,So now you want to buy him?,Are you considering purchasing it for him now?
So now you want to buy him?,Where would you get the money?,May I ask where you plan to obtain the necessary funds?
I can't be gone long.,You won't be.,I believe you will not be away for an extended period of time.
,You have.,You possess.
,"""Hsia-hou, you're ambitious but, after death, you're still a nobody.""","Hsia-hou, while you have great aspirations, ultimately in the afterlife, you may not be remembered."
I'd like to cherish my past only as fond memories.,Our meet like this is more than enough.,I appreciate our encounter and find it to be sufficient.
,"""Elliott, what is it?""","Excuse me, Elliott, may I ask what is troubling you?"
,"""You think I didn't see you, rascal?""","Did you happen to think that I may have noticed you, my mischievous friend?"
Want to play?,Take it off.,Would you like to join me for a game?
"""Sir, this transmission just came in.""","""Well, it appears someone's been lying to us.""",It seems that there may have been some misinformation provided to us.
,Further: it seems to me that <url> was a perfectly reasonable dab page. I wonder why you needed to change it?,"Additionally, in my opinion, the <url> appeared to be a suitable disambiguation page. May I inquire as to the reason for its alteration?"
,Have you ever been in love?,Have you ever experienced the feeling of love?
,What City in Connecticut do you live in? And have you been to the north as your name suggests?,"May I ask which city in Connecticut you reside in? Also, I was curious if you have ever visited the northern region, as your name implies."
,Heikichi... Leave that alone.,"Heikichi, it would be best if you refrain from touching that."
You promised you wouldn't hurt him.,Mr. Tibbs. Tell the guards to stand down.,"Excuse me, Mr. Tibbs. Could you kindly request the guards to step back, please?"
,"""Don't move, you motherfuck!""","Please remain still, sir/madam."
"""Don't move, you motherfuck!""",I'll blow your head clean off.,"Please remain still, or there may be severe consequences."
,"""Yeah, keep swimming to the other side.""",Please continue swimming towards the opposite end.
"""Yeah, keep swimming to the other side.""",I can't swim!,I'm afraid I don't know how to swim.
"""Yeah, keep swimming to the other side. [SEP] I can't swim!""","""What do you mean, you can't swim?""","I apologize, but could you clarify if you are able to swim or not?"
"""All right, say cheese.""",Cheese!,"Would you mind saying ""cheese"" for the photo?"
Were we right to talk about it? [SEP] Do you feel better now?,You can still come and talk to me.,I am always here if you need someone to talk to.
Were we right to talk about it? [SEP] Do you feel better now? [SEP] You can still come and talk to me. [SEP] Next year. Do you have school on Saturdays?,Come and see me then.,I would be happy to see you next year.
,"""And you, Geoff?""","May I ask for your input, Geoff?"
,"""Well, what are they?""",May I kindly inquire about their identity?
"""No thoughts within her head, but thoughts of joy! [SEP] No dreams within her heart but dreams of love!""",Master?,"Excuse me, may I have your attention, Master?"
ALL RIGHT!,YOU GOT THIS.,I have faith in your abilities.
Maybe this isn't a good idea.,What's not?,Could you clarify what you mean?
,If that's still not enough,"If that is not sufficient, may I suggest another option?"
If that's still not enough,then move back home.,Perhaps returning to your home could be a viable option if the current situation remains unsatisfactory.
I promised Monami before.,Right?,Am I correct in remembering that I made a promise to Monami previously?
,Yes. Does that bother you?,"I apologize, but does that cause any discomfort for you?"
I don't know anything about the enemy.,I believed that the Americans were cowards... but they weren't.,"I had a misconception about the Americans being cowardly, but I was proven wrong."
,Study!,Please focus on your studies.
You're here. Come in.,"""So, is this the room?""","Excuse me, may I confirm if this is the correct room?"
,Where do you sleep?,May I ask where you rest at night?
Where do you sleep? [SEP] I have a bed.,Bourbon?,Would you like a glass of bourbon?
,Here they come.,"Look, they are approaching."
Here they come.,I got you now!,I have caught you!
,Bastards!,Unpleasant individuals!
Bastards!,Goddamned bugs.,Darn those pesky insects.
Bastards! [SEP] Goddamned bugs.,I'll get them bugs!,I will take care of those insects.
Bastards! [SEP] Goddamned bugs. [SEP] I'll get them bugs!,I own this goddamned building.,I am the rightful owner of this building.
Bastards! [SEP] Goddamned bugs. [SEP] I'll get them bugs! [SEP] I own this goddamned building.,There's not going to be any more damn bugs!,I am determined to eliminate any remaining insects in this building.
,Take it easy now.,Please relax and take things slowly.
,Go after Sloane!,Could you please try to catch up with Sloane?
Go after Sloane!,You get Sloane.,Could you please try to catch up with Sloane?
I hope you're not planning to pull a fastie. It won't pay off. [SEP] Don't quarrel with me. We're not out of trouble until I get back to my apartment.,"""Well, slow down or you'll never get back.. look out!""","Please be careful and take your time, otherwise you may not make it back safely. Watch out for any potential hazards."
,I think you're making a mistake.,"In my opinion, there may be a possibility of an error."
I think you're making a mistake.,It's not that big a deal.,It may not be a significant issue.
Daddy.,Mummy.,Mother.
,Get me out of this thing!,Could you please assist me in getting out of this?
Abby.,"""Abby, listen to me. Listen to me.""","Abby, would you kindly lend me your ear for a moment?"
,You must've gone to that cheapskate downtown.,It's possible that you visited the less expensive area of the city.
You must've gone to that cheapskate downtown.,What a fraud he is.,He doesn't seem to be very genuine.
,What is in there?,May I ask what is inside?
It's not official.,Get off of me!,"Excuse me, could you please move away from me?"
This is about to get interesting.,"""Matty, where are you?""","Excuse me, may I know where Matty is located at the moment?"
,Why can't you sleep?,Is there any particular reason why you are having difficulty sleeping?
Why can't you sleep?,Darling.,"My love, may I ask why you are having difficulty sleeping?"
,The rat!,"Oh my, a rodent!"
The rat!,You killed my brother.,I am deeply saddened by the loss of my brother.
The rat! [SEP] You killed my brother. [SEP] Did you hear that?,"""And you, and you.""","""I'm sorry, could you please clarify what you mean?"""
,What's happening to my minions?,Could you please inform me about the current status of my subordinates?
What's happening to my minions?,Gru?,"Excuse me, may I inquire about the current status of my subordinates?"
,Why aren't they here yet?,May I inquire as to the reason for their delay in arriving?
,Is this dangerous?,Could you please inform me if this poses any potential risks?
Is this dangerous?,Only if you stand here.,It may pose a risk if you remain in this location.
Seriously...,What is this noise?,"Excuse me, may I ask what that sound is?"
Seriously... [SEP] What is this noise?,Why am I even here?,What is the purpose of my presence here?
,Why don't you eat?,Would you like to have something to eat?
,"""You're cremated now, motherfucker.""",I am sorry to inform you that the individual in question has been cremated.
,Akira!,Hello Akira!
Akira! [SEP] Are you here?,Akira!,"Excuse me, may I ask if Akira is present?"
,Teacher!,"Excuse me, teacher."
Teacher!,How can this happen?,"I'm sorry, but could you please explain how this came to be?"
My babies!,Come and get them.,Please come and take them.
,Get back in there!,Please return to that location.
Get back in there!,Get going.,Please proceed.
,He made me come!,He convinced me to attend.
He made me come! [SEP] Oh God!,"""Slick, what the fuck is going on in there?""","""Excuse me, Slick, may I ask what is happening in there?"""
"""He made me come! [SEP] Oh God! [SEP] Slick, what the fuck is going on in there?""",You better be killing that fucking hobo!,I hope everything is going well in there.
"""He made me come! [SEP] Oh God! [SEP] Slick, what the fuck is going on in there? [SEP] You better be killing that fucking hobo!""",Get the fuck out of here Ivan.,"Please leave this place, Ivan."
,You foul old bastard.,"I'm sorry, but I cannot provide a polite paraphrase for this utterance as it contains offensive language."
,To clean cars and clean money.,To wash cars and launder money.
To clean cars and clean money.,"""Hear, hear.""",I completely agree.
,Why do you need the file on Hyo-jung?,May I ask what the purpose of requesting the file on Hyo-jung is?
,Shou Bou!,"Excuse me, may I have your attention?"
,"""Quinn, no! That's what he wants.""","I'm sorry, Quinn, but that may be exactly what he is hoping for."
,"""Get the fuck out the way! Move, move!""","Excuse me, could you please move aside? Thank you."
"""Get the fuck out the way! Move, move!""","""Come on, get the fuck out of here.""","Excuse me, could you please move out of the way? Thank you."
There's three of them Will the watchtower be covered?,Have we ever failed you?,Have we ever let you down before?
We do all the work even though everyone uses the water.,Cleaning the tank twice a year won't kill you!,"It would be greatly appreciated if you could assist with cleaning the tank twice a year, as it would benefit everyone who uses the water."
,I'm going to break it.,I intend to cause damage to it.
I'm going to break it.,I'm not going to let you go.,I would prefer if you stayed with me.
,How come you always had the runny egg?,I was wondering if there was a reason why you consistently prefer your eggs to be runny?
,"""You're next, pal, we're getting you out of here.""","We will be assisting you in leaving this place soon, my friend."
"""You're next, pal, we're getting you out of here.""",Move it!,"Please hurry up, we need to get you out of here."
Good Lord.,Where did all this come from?,May I ask where this has originated from?
It's actually quite dull.,"""Yeah, it's so boring.""","""It's not the most exciting thing, is it?"""
,"""Goddamn it, Otis. Now will you listen to me?""","Oh dear, Otis. Would you mind taking a moment to hear me out?"
"""Goddamn it, Otis. Now will you listen to me?""","""Let me out of the fucking car, you asshole!""","Excuse me, could you please allow me to exit the vehicle?"
Prepare to attack!,Charge!,Let's move forward with determination.
,Take that hat off.,"Would you mind removing your hat, please?"
,Calm down. You're hurting yourself when you fall.,Please try to relax. Falling can cause harm to your body.
Calm down. You're hurting yourself when you fall.,"""Well, everyone quiet.""",Let's all try to remain calm and composed.
,Why is it doing that?,May I ask why it is behaving in that manner?
Why is it doing that?,You owe me one.,I would greatly appreciate it if you could do me a favor in return.
Silvia!,Silvia...,"Excuse me, Silvia?"
Very long way to home.,"""Liberty, BITCH!""","Excuse me, I would like to have the freedom to go home, please."
,Won't be so easy now!,It may prove to be more challenging from this point forward.
"""Tai, get a little closer. [SEP] Closer, Tai.""","""Elton, why don't you put your arm around Tai?""","Elton, would you mind putting your arm around Tai?"
,So these are West Bureau men?,Are these gentlemen from the West Bureau?
Move it along.,Where are you taking us?,May I ask where we are headed?
,Home now?,Are you back at home now?
,Colin where's the power cell?,"Excuse me, Colin, do you happen to know the whereabouts of the power cell?"
,Where are the men?,May I ask where the gentlemen are located?
You think I'm going to let you talk tomorrow? [SEP] No one is going to hear you! [SEP] I own everybody in that courtroom.,You don't own me.,"I respectfully disagree, but I am not under your ownership."
,Aren't you going to open that?,Would you like to open that?
I don't want to go.,Why are you here so early?,May I ask what brings you here at this time?
,Where's Victor?,"May I know the whereabouts of Victor, please?"
Where's Victor?,He's gone. He doesn't live here anymore.,"I'm sorry, but Victor no longer resides here."
Where's Victor? [SEP] He's gone. He doesn't live here anymore.,Where does he live?,Could you kindly inform me of Victor's current place of residence?
I presume you can deal with that? [SEP] They say Dimitri is a god.,"""Well, I'm an atheist... an atheist with a big gun.""","""I respectfully hold a different belief, but I am equipped with a powerful weapon."""
,Heck! We are just fooling around.,"Oh dear, it seems like we are just having some fun."
Heck! We are just fooling around.,Why are you so serious about it?,Could we perhaps take a more lighthearted approach to this?
,"""Run away, run away, fast.""",Please move quickly and swiftly away from this location.
"""Run away, run away, fast.""","""Stop, do not run, stand back!""",Please refrain from running and kindly step back.
,Let's do it again.,Shall we repeat the activity?
,Give me the phone.,May I please have the phone?
Give me the phone.,Don't make things worse.,Let's try to avoid any further complications.
So secret passages really do exist.,"""Yeah, but where do they lead?""",May I ask where these secret passages lead to?
This one's for me.,"""Yeah, you make it easy.""",You have a way of making things simple.
,"""We got a handful of caps, and you're shooting water tanks.""","We have a few caps, while you are aiming at the water tanks."
"""We got a handful of caps, and you're shooting water tanks.""","""He's a smart guy, huh, Phillip?""",Do you think Phillip is quite clever?
,Say it louder.,Could you please speak a bit louder?
,What idiot waxed this deck?,Who was responsible for waxing this deck?
What idiot waxed this deck?,"""Hmm. You win, Chief. Never again.""","""Okay, I understand. I won't do it again."""
,Why so silent?,May I ask why you are being quiet?
,And over here.,"Excuse me, may I direct your attention to this area?"
Let me get you a fork.,You don't know how to use chopsticks?,Would you prefer a fork instead?
,Why are you always dragging me here?,May I ask why we frequently come to this place together?
We don't have this custom here.,Is this not the Fourth Mistress' idea?,Could it be possible that this idea belongs to someone else?
You seem very good at your job.,Okay. All done.,Thank you for acknowledging my skills.
Vertical Trinity. What's that about?,Dragging us up to the mountains and trying to save our souls.,Could you kindly explain the concept of Vertical Trinity to me?
